GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DAPIL
IDN.1.2_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehBarat,NA,NA,Kabupaten,Regency,1107,ID.AC.AB,Aceh I
IDN.1.1_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehBaratDaya,NA,NA,Kabupaten,Regency,1112,ID.AC.AD,Aceh I
IDN.1.3_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehBesar,NA,NA,Kabupaten,Regency,1108,ID.AC.AR,Aceh I
IDN.1.4_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehJaya,NA,NA,Kabupaten,Regency,1116,ID.AC.AJ,Aceh I
IDN.1.5_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehSelatan,NA,NA,Kabupaten,Regency,1103,ID.AC.AS,Aceh I
IDN.1.6_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehSingkil,NA,NA,Kabupaten,Regency,1102,ID.AC.AN,Aceh I
IDN.1.7_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehTamiang,NA,NA,Kabupaten,Regency,1114,ID.AC.AM,Aceh II
IDN.1.8_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehTengah,NA,NA,Kabupaten,Regency,1106,ID.AC.AT,Aceh II
IDN.1.9_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehTenggara,NA,NA,Kabupaten,Regency,1104,ID.AC.AG,Aceh I
IDN.1.10_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehTimur,NA,NA,Kabupaten,Regency,1105,ID.AC.AI,Aceh II
IDN.1.11_1,IDN,Indonesia,IDN.1_1,Aceh,NA,AcehUtara,NA,NA,Kabupaten,Regency,1111,ID.AC.AU,Aceh II
IDN.1.12_1,IDN,Indonesia,IDN.1_1,Aceh,NA,BandaAceh,NA,NA,Kota,City,1171,ID.AC.BA,Aceh I
IDN.1.13_1,IDN,Indonesia,IDN.1_1,Aceh,NA,BenerMeriah,NA,NA,Kabupaten,Regency,1117,ID.AC.BM,Aceh II
IDN.1.14_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Bireuen,NA,NA,Kabupaten,Regency,1110,ID.AC.BI,Aceh II
IDN.1.15_1,IDN,Indonesia,IDN.1_1,Aceh,NA,GayoLues,NA,NA,Kabupaten,Regency,1113,ID.AC.GL,Aceh I
IDN.1.16_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Langsa,NA,NA,Kota,City,1173,ID.AC.LA,Aceh II
IDN.1.17_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Lhokseumawe,NA,NA,Kota,City,1174,ID.AC.LH,Aceh II
IDN.1.18_1,IDN,Indonesia,IDN.1_1,Aceh,NA,NaganRaya,NA,NA,Kabupaten,Regency,1115,ID.AC.NR,Aceh I
IDN.1.20_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Pidie,NA,NA,Kabupaten,Regency,1109,ID.AC.PD,Aceh I
IDN.1.19_1,IDN,Indonesia,IDN.1_1,Aceh,NA,PidieJaya,NA,NA,Kabupaten,Regency,1118,ID.AC.PJ,Aceh I
IDN.1.21_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Sabang,NA,NA,Kota,City,1172,ID.AC.SA,Aceh I
IDN.1.22_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Simeulue,NA,NA,Kabupaten,Regency,1101,ID.AC.SI,Aceh I
IDN.1.23_1,IDN,Indonesia,IDN.1_1,Aceh,NA,Subulussalam,NA,NA,Kota,City,1175,ID.AC.SU,Aceh I
IDN.2.1_1,IDN,Indonesia,IDN.2_1,Bali,NA,Badung,NA,NA,Kabupaten,Regency,5103,ID.BA.BD,Bali
IDN.2.2_1,IDN,Indonesia,IDN.2_1,Bali,NA,Bangli,NA,NA,Kabupaten,Regency,5106,ID.BA.BN,Bali
IDN.2.3_1,IDN,Indonesia,IDN.2_1,Bali,NA,Buleleng,NA,NA,Kabupaten,Regency,5108,ID.BA.BL,Bali
IDN.2.4_1,IDN,Indonesia,IDN.2_1,Bali,NA,Denpasar,NA,NA,Kota,City,5171,ID.BA.DE,Bali
IDN.2.5_1,IDN,Indonesia,IDN.2_1,Bali,NA,Gianyar,NA,NA,Kabupaten,Regency,5104,ID.BA.GI,Bali
IDN.2.6_1,IDN,Indonesia,IDN.2_1,Bali,NA,Jembrana,NA,NA,Kabupaten,Regency,5101,ID.BA.JE,Bali
IDN.2.7_1,IDN,Indonesia,IDN.2_1,Bali,NA,Karangasem,NA,NA,Kabupaten,Regency,5107,ID.BA.KA,Bali
IDN.2.8_1,IDN,Indonesia,IDN.2_1,Bali,NA,Klungkung,NA,NA,Kabupaten,Regency,5105,ID.BA.KL,Bali
IDN.2.9_1,IDN,Indonesia,IDN.2_1,Bali,NA,Tabanan,NA,NA,Kabupaten,Regency,5102,ID.BA.TA,Bali
IDN.3.4_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,Bangka,NA,NA,Kabupaten,Regency,1901,ID.BB.BA,Kepulauan Bangka Belitung
IDN.3.1_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,BangkaBarat,NA,NA,Kabupaten,Regency,1903,ID.BB.BB,Kepulauan Bangka Belitung
IDN.3.2_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,BangkaSelatan,NA,NA,Kabupaten,Regency,1905,ID.BB.BS,Kepulauan Bangka Belitung
IDN.3.3_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,BangkaTengah,NA,NA,Kabupaten,Regency,1904,ID.BB.BG,Kepulauan Bangka Belitung
IDN.3.6_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,Belitung,NA,NA,Kabupaten,Regency,1902,ID.BB.BE,Kepulauan Bangka Belitung
IDN.3.5_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,BelitungTimur,NA,NA,Kabupaten,Regency,1906,ID.BB.BT,Kepulauan Bangka Belitung
IDN.3.7_1,IDN,Indonesia,IDN.3_1,BangkaBelitung,NA,Pangkalpinang,NA,NA,Kota,City,1971,ID.BB.PP,Kepulauan Bangka Belitung
IDN.4.1_1,IDN,Indonesia,IDN.4_1,Banten,NA,Cilegon,NA,NA,Kota,City,3672,ID.BT.CL,Banten II
IDN.4.2_1,IDN,Indonesia,IDN.4_1,Banten,NA,KotaSerang,NA,NA,Kota,City,3673,ID.BT.SK,Banten II
IDN.4.3_1,IDN,Indonesia,IDN.4_1,Banten,NA,KotaTangerang,NA,NA,Kota,City,3671,ID.BT.TM,Banten III
IDN.4.4_1,IDN,Indonesia,IDN.4_1,Banten,NA,Lebak,NA,NA,Kabupaten,Regency,3602,ID.BT.LE,Banten I
IDN.4.5_1,IDN,Indonesia,IDN.4_1,Banten,NA,Pandeglang,NA,NA,Kabupaten,Regency,3601,ID.BT.PA,Banten I
IDN.4.6_1,IDN,Indonesia,IDN.4_1,Banten,NA,Serang,NA,NA,Kabupaten,Regency,3604,ID.BT.SR,Banten II
IDN.4.8_1,IDN,Indonesia,IDN.4_1,Banten,NA,Tangerang,NA,NA,Kabupaten,Regency,3603,ID.BT.TG,Banten III
IDN.4.7_1,IDN,Indonesia,IDN.4_1,Banten,NA,TangerangSelatan,NA,NA,Kota,City,3674,ID.BT.TS,Banten III
IDN.5.4_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Bengkulu,NA,NA,Kota,City,1771,ID.BE.BE,Bengkulu
IDN.5.1_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,BengkuluSelatan,NA,NA,Kabupaten,Regency,1701,ID.BE.BS,Bengkulu
IDN.5.2_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,BengkuluTengah,NA,NA,Kabupaten,Regency,1709,ID.BE.BN,Bengkulu
IDN.5.3_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,BengkuluUtara,NA,NA,Kabupaten,Regency,1703,ID.BE.BT,Bengkulu
IDN.5.5_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Kaur,NA,NA,Kabupaten,Regency,1704,ID.BE.KA,Bengkulu
IDN.5.6_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Kepahiang,NA,NA,Kabupaten,Regency,1708,ID.BE.KE,Bengkulu
IDN.5.7_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Lebong,NA,NA,Kabupaten,Regency,1707,ID.BE.LE,Bengkulu
IDN.5.8_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Mukomuko,NA,NA,Kabupaten,Regency,1706,ID.BE.MU,Bengkulu
IDN.5.9_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,RejangLebong,NA,NA,Kabupaten,Regency,1702,ID.BE.RL,Bengkulu
IDN.5.10_1,IDN,Indonesia,IDN.5_1,Bengkulu,NA,Seluma,NA,NA,Kabupaten,Regency,1705,ID.BE.SE,Bengkulu
IDN.6.1_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,Boalemo,NA,NA,Kabupaten,Regency,7501,ID.GO.BO,Gorontalo
IDN.6.2_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,BoneBolango,NA,NA,Kabupaten,Regency,7504,ID.GO.BB,Gorontalo
IDN.6.3_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,DanauLimboto,NA,NA,Kabupaten,Regency,7502,ID.GO.GO,Gorontalo
IDN.6.5_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,Gorontalo,NA,NA,Kabupaten,Regency,7502,ID.GO.GO,Gorontalo
IDN.6.4_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,GorontaloUtara,NA,NA,Kabupaten,Regency,7505,ID.GO.GU,Gorontalo
IDN.6.6_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,KotaGorontalo,NA,NA,Kota,City,7571,ID.GO.GM,Gorontalo
IDN.6.7_1,IDN,Indonesia,IDN.6_1,Gorontalo,NA,Pohuwato,NA,NA,Kabupaten,Regency,7503,ID.GO.PO,Gorontalo
IDN.7.1_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,JakartaBarat,NA,NA,Kota,City,3174,ID.JK.JB,DKI Jakarta III
IDN.7.2_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,JakartaPusat,NA,NA,Kota,City,3173,ID.JK.JP,DKI Jakarta II
IDN.7.3_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,JakartaSelatan,NA,NA,Kota,City,3171,ID.JK.JS,DKI Jakarta II
IDN.7.4_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,JakartaTimur,NA,NA,Kota,City,3172,ID.JK.JT,DKI Jakarta I
IDN.7.5_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,JakartaUtara,NA,NA,Kota,City,3175,ID.JK.JU,DKI Jakarta III
IDN.7.6_1,IDN,Indonesia,IDN.7_1,JakartaRaya,NA,KepulauanSeribu,NA,NA,Kabupaten,Regency,3101,ID.JK.KS,DKI Jakarta III
IDN.8.1_1,IDN,Indonesia,IDN.8_1,Jambi,NA,BatangHari,NA,NA,Kabupaten,Regency,1504,ID.JA.BA,Jambi
IDN.8.2_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Bungo,NA,NA,Kabupaten,Regency,1509,ID.JA.BT,Jambi
IDN.8.3_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Jambi,NA,NA,Kota,City,1571,ID.JA.JA,Jambi
IDN.8.4_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Kerinci,NA,NA,Kabupaten,Regency,1501,ID.JA.KR,Jambi
IDN.8.5_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Merangin,NA,NA,Kabupaten,Regency,1502,ID.JA.SB,Jambi
IDN.8.6_1,IDN,Indonesia,IDN.8_1,Jambi,NA,MuaroJambi,NA,NA,Kabupaten,Regency,1505,ID.JA.MJ,Jambi
IDN.8.7_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Sarolangun,NA,NA,Kabupaten,Regency,1503,ID.JA.SA,Jambi
IDN.8.8_1,IDN,Indonesia,IDN.8_1,Jambi,NA,SungaiPenuh,NA,NA,Kota,City,1572,ID.JA.SP,Jambi
IDN.8.9_1,IDN,Indonesia,IDN.8_1,Jambi,NA,TanjungJabungB,NA,NA,Kabupaten,Regency,1507,ID.JA.TJ,Jambi
IDN.8.10_1,IDN,Indonesia,IDN.8_1,Jambi,NA,TanjungJabungT,NA,NA,Kabupaten,Regency,1506,ID.JA.TT,Jambi
IDN.8.11_1,IDN,Indonesia,IDN.8_1,Jambi,NA,Tebo,NA,NA,Kabupaten,Regency,1508,ID.JA.TE,Jambi
IDN.9.2_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Bandung,NA,NA,Kabupaten,Regency,3204,ID.JR.BU,Jawa Barat II
IDN.9.1_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,BandungBarat,NA,NA,Kabupaten,Regency,3217,ID.JR.BB,Jawa Barat II
IDN.9.3_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Banjar,NA,NA,Kota,City,3279,ID.JR.BA,Jawa Barat X
IDN.9.4_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Bekasi,NA,NA,Kabupaten,Regency,3216,ID.JR.BS,Jawa Barat VII
IDN.9.5_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Bogor,NA,NA,Kabupaten,Regency,3201,ID.JR.BR,Jawa Barat V
IDN.9.6_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Ciamis,NA,NA,Kabupaten,Regency,3207,ID.JR.CS,Jawa Barat X
IDN.9.7_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Cianjur,NA,NA,Kabupaten,Regency,3203,ID.JR.CJ,Jawa Barat III
IDN.9.8_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Cimahi,NA,NA,Kota,City,3277,ID.JR.CI,Jawa Barat I
IDN.9.9_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Cirebon,NA,NA,Kabupaten,Regency,3209,ID.JR.CR,Jawa Barat VIII
IDN.9.10_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Depok,NA,NA,Kota,City,3276,ID.JR.DE,Jawa Barat VI
IDN.9.11_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Garut,NA,NA,Kabupaten,Regency,3205,ID.JR.GA,Jawa Barat XI
IDN.9.12_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Indramayu,NA,NA,Kabupaten,Regency,3212,ID.JR.IN,Jawa Barat VIII
IDN.9.13_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Karawang,NA,NA,Kabupaten,Regency,3215,ID.JR.KA,Jawa Barat VII
IDN.9.14_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaBandung,NA,NA,Kota,City,3273,ID.JR.BN,Jawa Barat I
IDN.9.15_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaBekasi,NA,NA,Kota,City,3275,ID.JR.BK,Jawa Barat VI
IDN.9.16_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaBogor,NA,NA,Kota,City,3271,ID.JR.BG,Jawa Barat III
IDN.9.17_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaCirebon,NA,NA,Kota,City,3274,ID.JR.CM,Jawa Barat VIII
IDN.9.18_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaSukabumi,NA,NA,Kota,City,3272,ID.JR.SM,Jawa Barat IV
IDN.9.19_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,KotaTasikmalaya,NA,NA,Kota,City,3278,ID.JR.TM,Jawa Barat XI
IDN.9.20_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Kuningan,NA,NA,Kabupaten,Regency,3208,ID.JR.KU,Jawa Barat X
IDN.9.21_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Majalengka,NA,NA,Kabupaten,Regency,3210,ID.JR.MA,Jawa Barat IX
IDN.9.22_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Purwakarta,NA,NA,Kabupaten,Regency,3214,ID.JR.PU,Jawa Barat VII
IDN.9.23_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Subang,NA,NA,Kabupaten,Regency,3213,ID.JR.SB,Jawa Barat IX
IDN.9.24_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Sukabumi,NA,NA,Kabupaten,Regency,3202,ID.JR.SR,Jawa Barat IV
IDN.9.25_1,IDN,Indonesia,IDN.9_1,JawaBarat,NA,Sumedang,NA,NA,Kabupaten,Regency,3211,ID.JR.SD,Jawa Barat IX
